iter	Passed	Remaining
0	38	5704
1	74	5525
2	116	571333	158	576944	199	5776
5	289	6945
6	316	6458
7	368	6540
8	458	7186
9	515	7216
10	594	7508
11	632	7279
12	675	7114
13	694	6750
14	712	6412
15	732	6134
16	756	5919
17	776	5691
18	796	5494
19	813	5286
20	832	5116
21	856	4980
22	889	4913
23	953	5003
24	978	4891
25	1001	4775226	1020	46527	1000	4361
28	1034	4315
29	1056	4225
30	1076	4133
31	1097	4045
32	1120	3973
33	1150	3924
34	1168	3840
35	1189	3766
36	1206	3684
37	1233	3636
38	1261	3589
39	1291	3552
40	1312	3489
41	1345	3460
42	1386	3449
43	1410	3397
44	1428	3333
45	1453	3285
46	1477	3238
47	1495	3178
48	1514	3122
49	1537	3074
50	1555	3018
51	1574	2967
52	1594	2917
53	1617	2874
54	1638	2829
55	1664	2794
56	1690	2757
57	1711	2714
58	1728	2665
59	1745	2618
60	1771	2584
61	1797	2550
62	1819	2512
63	1839	2471
64	1858	2430
65	1878	2391
66	1897	2351
67	1919	2315
68	1941	2278
69	1959	2239
70	1983	2206
71	2003	2170
72	2033	2144
73	2053	2109
74	2067	2067
75	2085	2030
76	2106	1996
77	2128	1965
78	2145	1928
79	2161	1891
80	2178	1855
81	2198	1823
82	2215	1788
83	2233	1755
84	2251	1721
85	2273	1691
86	2292	1659
87	2310	1627
88	2331	1597
89	2353	1568
90	2375	1540
91	2399	1512
92	2417	1481
93	2438	1452
94	2456	1422
95	2476	1392
96	2495	1363
97	2513	1333
98	2536	1306
99	2562	1281
100	2583	1253
101	2602	1224
102	2623	1197
103	2641	1168
104	2663	1141
105	2685	1114
106	2702	1086
107	2721	1058
108	2736	1029
109	2751	1000
110	2770	973
111	2784	944
112	2806	918
113	2824	892
114	2839	864
115	2856	837
116	2883	813
117	2902	787
118	2915	759
119	2932	733
120	2949	706
121	2961	679
122	2977	653
123	2990	626
124	3002	600
125	3012	573
126	3022	547
127	3032	521
128	3045	495
129	3051	469
130	3059	443
131	3072	418
132	3083	394
133	3092	369
134	3100	344
135	3110	320
136	3119	295
137	3127	271
138	3136	248
139	3145	224
140	3154	201
141	3162	178
142	3171	155
143	3179	132
144	3188	109
145	3197	87
146	3208	65
147	3219	43
148	3226	21
149	3235	0

